"Id";"municipioCod";"municipio";"departamentoId";"munic_fonetico";"dept_fonetico";"key_munc";"cod_Ciudad_DANE";"Munc_Depto"
1;"001";"MEDELLÍN";"05";"nEDEiiN";"Antioquia";"nEDEiiN-Antioquia";"05001";"MEDELLÍN - Antioquia"
2;"002";"ABEJORRAL";"05";"AvEJOrAL";"Antioquia";"AvEJOrAL-Antioquia";"05002";"ABEJORRAL - Antioquia"
3;"004";"ABRIAQUÍ";"05";"AvRIAQUi";"Antioquia";"AvRIAQUi-Antioquia";"05004";"ABRIAQUÍ - Antioquia"
4;"021";"ALEJANDRÍA";"05";"ALEJANDRiA";"Antioquia";"ALEJANDRiA-Antioquia";"05021";"ALEJANDRÍA - Antioquia"
5;"030";"AMAGÁ";"05";"AnAja";"Antioquia";"AnAja-Antioquia";"05030";"AMAGÁ - Antioquia"
6;"031";"AMALFI";"05";"AnALFI";"Antioquia";"AnALFI-Antioquia";"05031";"AMALFI - Antioquia"
7;"034";"ANDES";"05";"ANDES";"Antioquia";"ANDES-Antioquia";"05034";"ANDES - Antioquia"
8;"036";"ANGELÓPOLIS";"05";"ANjELoPOLIS";"Antioquia";"ANjELoPOLIS-Antioquia";"05036";"ANGELÓPOLIS - Antioquia"
9;"038";"ANGOSTURA";"05";"ANjOSTURA";"Antioquia";"ANjOSTURA-Antioquia";"05038";"ANGOSTURA - Antioquia"
10;"040";"ANORÍ";"05";"ANORi";"Antioquia";"ANORi-Antioquia";"05040";"ANORÍ - Antioquia"
11;"042";"SANTAFÉ DE ANTIOQUIA";"05";"SANTAFe DE ANTIOQUIA";"Antioquia";"SANTAFe DE ANTIOQUIA-Antioquia";"05042";"SANTAFÉ DE ANTIOQUIA - Antioquia"
12;"044";"ANZA";"05";"ANsA";"Antioquia";"ANsA-Antioquia";"05044";"ANZA - Antioquia"
13;"045";"APARTADÓ";"05";"APARTADo";"Antioquia";"APARTADo-Antioquia";"05045";"APARTADÓ - Antioquia"
14;"051";"ARBOLETES";"05";"ARvOLETES";"Antioquia";"ARvOLETES-Antioquia";"05051";"ARBOLETES - Antioquia"
15;"055";"ARGELIA";"05";"ARjELIA";"Antioquia";"ARjELIA-Antioquia";"05055";"ARGELIA - Antioquia"
16;"059";"ARMENIA";"05";"ARnENIA";"Antioquia";"ARnENIA-Antioquia";"05059";"ARMENIA - Antioquia"
17;"079";"BARBOSA";"05";"vARvOSA";"Antioquia";"vARvOSA-Antioquia";"05079";"BARBOSA - Antioquia"
18;"086";"BELMIRA";"05";"vELnIRA";"Antioquia";"vELnIRA-Antioquia";"05086";"BELMIRA - Antioquia"
19;"088";"BELLO";"05";"vEiO";"Antioquia";"vEiO-Antioquia";"05088";"BELLO - Antioquia"
20;"091";"BETANIA";"05";"vETANIA";"Antioquia";"vETANIA-Antioquia";"05091";"BETANIA - Antioquia"
21;"093";"BETULIA";"05";"vETULIA";"Antioquia";"vETULIA-Antioquia";"05093";"BETULIA - Antioquia"
22;"101";"CIUDAD BOLÍVAR";"05";"sIUDAD vOLiVAR";"Antioquia";"sIUDAD vOLiVAR-Antioquia";"05101";"CIUDAD BOLÍVAR - Antioquia"
23;"107";"BRICEÑO";"05";"vRIsEnO";"Antioquia";"vRIsEnO-Antioquia";"05107";"BRICEÑO - Antioquia"
24;"113";"BURITICÁ";"05";"vURITIsa";"Antioquia";"vURITIsa-Antioquia";"05113";"BURITICÁ - Antioquia"
25;"120";"CÁCERES";"05";"sasERES";"Antioquia";"sasERES-Antioquia";"05120";"CÁCERES - Antioquia"
26;"125";"CAICEDO";"05";"sAIsEDO";"Antioquia";"sAIsEDO-Antioquia";"05125";"CAICEDO - Antioquia"
27;"129";"CALDAS";"05";"sALDAS";"Antioquia";"sALDAS-Antioquia";"05129";"CALDAS - Antioquia"
28;"134";"CAMPAMENTO";"05";"sAnPAnENTO";"Antioquia";"sAnPAnENTO-Antioquia";"05134";"CAMPAMENTO - Antioquia"
29;"138";"CAÑASGORDAS";"05";"sAnASjORDAS";"Antioquia";"sAnASjORDAS-Antioquia";"05138";"CAÑASGORDAS - Antioquia"
30;"142";"CARACOLÍ";"05";"sARAsOLi";"Antioquia";"sARAsOLi-Antioquia";"05142";"CARACOLÍ - Antioquia"
31;"145";"CARAMANTA";"05";"sARAnANTA";"Antioquia";"sARAnANTA-Antioquia";"05145";"CARAMANTA - Antioquia"
32;"147";"CAREPA";"05";"sAREPA";"Antioquia";"sAREPA-Antioquia";"05147";"CAREPA - Antioquia"
33;"148";"EL CARMEN DE VIBORAL";"05";"EL sARnEN DE VIvORAL";"Antioquia";"EL sARnEN DE VIvORAL-Antioquia";"05148";"EL CARMEN DE VIBORAL - Antioquia"
34;"150";"CAROLINA";"05";"sAROLINA";"Antioquia";"sAROLINA-Antioquia";"05150";"CAROLINA - Antioquia"
35;"154";"CAUCASIA";"05";"sAUsASIA";"Antioquia";"sAUsASIA-Antioquia";"05154";"CAUCASIA - Antioquia"
36;"172";"CHIGORODÓ";"05";"sIjORODo";"Antioquia";"sIjORODo-Antioquia";"05172";"CHIGORODÓ - Antioquia"
37;"190";"CISNEROS";"05";"sISNEROS";"Antioquia";"sISNEROS-Antioquia";"05190";"CISNEROS - Antioquia"
38;"197";"COCORNÁ";"05";"sOsORNa";"Antioquia";"sOsORNa-Antioquia";"05197";"COCORNÁ - Antioquia"
39;"206";"CONCEPCIÓN";"05";"sONsEPsIoN";"Antioquia";"sONsEPsIoN-Antioquia";"05206";"CONCEPCIÓN - Antioquia"
40;"209";"CONCORDIA";"05";"sONsORDIA";"Antioquia";"sONsORDIA-Antioquia";"05209";"CONCORDIA - Antioquia"
41;"212";"COPACABANA";"05";"sOPAsAvANA";"Antioquia";"sOPAsAvANA-Antioquia";"05212";"COPACABANA - Antioquia"
42;"234";"DABEIBA";"05";"DAvEIvA";"Antioquia";"DAvEIvA-Antioquia";"05234";"DABEIBA - Antioquia"
43;"237";"DON MATÍAS";"05";"DON nATiAS";"Antioquia";"DON nATiAS-Antioquia";"05237";"DON MATÍAS - Antioquia"
44;"240";"EBÉJICO";"05";"EveJIsO";"Antioquia";"EveJIsO-Antioquia";"05240";"EBÉJICO - Antioquia"
45;"250";"EL BAGRE";"05";"EL vAjRE";"Antioquia";"EL vAjRE-Antioquia";"05250";"EL BAGRE - Antioquia"
46;"264";"ENTRERRIOS";"05";"ENTRErIOS";"Antioquia";"ENTRErIOS-Antioquia";"05264";"ENTRERRIOS - Antioquia"
47;"266";"ENVIGADO";"05";"ENVIjADO";"Antioquia";"ENVIjADO-Antioquia";"05266";"ENVIGADO - Antioquia"
48;"282";"FREDONIA";"05";"FREDONIA";"Antioquia";"FREDONIA-Antioquia";"05282";"FREDONIA - Antioquia"
49;"284";"FRONTINO";"05";"FRONTINO";"Antioquia";"FRONTINO-Antioquia";"05284";"FRONTINO - Antioquia"
